ts_code,trade_time,open,close,high,low,vol,amount,oi,change1
OI2309.ZCE,2023-04-18 22:15:00,8734.0,8741.0,8743.0,8720.0,19193.0,1675677980.0,244961.0,-4.0
OI2309.ZCE,2023-04-18 22:00:00,8725.0,8735.0,8745.0,8725.0,22135.0,1933498230.0,245512.0,-6.0
OI2309.ZCE,2023-04-18 21:45:00,8735.0,8726.0,8739.0,8715.0,27324.0,2384595230.0,244066.0,-9.0
OI2309.ZCE,2023-04-18 21:30:00,8721.0,8734.0,8744.0,8716.0,56993.0,4975703220.0,242406.0,8.0
OI2309.ZCE,2023-04-18 21:15:00,8678.0,8721.0,8721.0,8663.0,77243.0,6713030790.0,240485.0,-13.0
OI2309.ZCE,2023-04-18 21:00:00,8686.0,8678.0,8686.0,8678.0,2310.0,200614960.0,231974.0,-43.0
OI2309.ZCE,2023-04-18 15:00:00,8668.0,8665.0,8671.0,8649.0,17744.0,1536501570.0,230741.0,-13.0
OI2309.ZCE,2023-04-18 14:45:00,8661.0,8668.0,8677.0,8652.0,15863.0,1374236620.0,233062.0,3.0
OI2309.ZCE,2023-04-18 14:30:00,8669.0,8660.0,8671.0,8658.0,11149.0,966026280.0,233254.0,-8.0
OI2309.ZCE,2023-04-18 14:15:00,8655.0,8669.0,8671.0,8652.0,14441.0,1250748700.0,232922.0,9.0
OI2309.ZCE,2023-04-18 14:00:00,8666.0,8656.0,8674.0,8644.0,25797.0,2233378300.0,230842.0,-13.0
OI2309.ZCE,2023-04-18 13:45:00,8638.0,8667.0,8667.0,8633.0,23554.0,2037389440.0,231093.0,11.0
OI2309.ZCE,2023-04-18 11:30:00,8631.0,8639.0,8647.0,8624.0,19718.0,1702827550.0,227754.0,-28.0
OI2309.ZCE,2023-04-18 11:15:00,8607.0,8630.0,8636.0,8605.0,24450.0,2108669010.0,227512.0,-9.0
OI2309.ZCE,2023-04-18 11:00:00,8596.0,8607.0,8620.0,8593.0,24074.0,2072263010.0,226142.0,-23.0
OI2309.ZCE,2023-04-18 10:45:00,8573.0,8596.0,8597.0,8565.0,19908.0,1708246350.0,224488.0,-11.0
OI2309.ZCE,2023-04-18 10:15:00,8587.0,8573.0,8595.0,8571.0,14435.0,1238824420.0,223509.0,-23.0
OI2309.ZCE,2023-04-18 10:00:00,8590.0,8586.0,8609.0,8582.0,20121.0,1729628050.0,223409.0,13.0
OI2309.ZCE,2023-04-18 09:45:00,8579.0,8589.0,8598.0,8572.0,15302.0,1313652770.0,222842.0,3.0
OI2309.ZCE,2023-04-18 09:30:00,8606.0,8579.0,8608.0,8558.0,40979.0,3516350540.0,221903.0,-10.0
OI2309.ZCE,2023-04-18 09:15:00,8530.0,8608.0,8624.0,8528.0,73319.0,6292511000.0,224395.0,29.0
OI2309.ZCE,2023-04-17 23:00:00,8505.0,8520.0,8523.0,8501.0,14142.0,1203718370.0,220540.0,-88.0
OI2309.ZCE,2023-04-17 22:45:00,8527.0,8505.0,8538.0,8505.0,16533.0,1408701180.0,222547.0,-15.0
OI2309.ZCE,2023-04-17 22:30:00,8535.0,8527.0,8539.0,8519.0,15780.0,1345661060.0,222709.0,22.0
OI2309.ZCE,2023-04-17 22:15:00,8535.0,8535.0,8545.0,8532.0,10765.0,919066700.0,222400.0,8.0
OI2309.ZCE,2023-04-17 22:00:00,8543.0,8534.0,8552.0,8531.0,12992.0,1109815610.0,222255.0,-1.0
OI2309.ZCE,2023-04-17 21:45:00,8532.0,8543.0,8545.0,8525.0,15073.0,1286535490.0,222513.0,9.0
OI2309.ZCE,2023-04-17 21:30:00,8554.0,8532.0,8555.0,8527.0,19800.0,1690461130.0,222731.0,-11.0
OI2309.ZCE,2023-04-17 21:15:00,8525.0,8553.0,8562.0,8519.0,49889.0,4260650470.0,222033.0,21.0
OI2309.ZCE,2023-04-17 21:00:00,8513.0,8515.0,8515.0,8513.0,928.0,79006380.0,216688.0,-38.0
OI2309.ZCE,2023-04-17 15:00:00,8506.0,8505.0,8528.0,8495.0,23940.0,2037306410.0,216150.0,-10.0
OI2309.ZCE,2023-04-17 14:45:00,8484.0,8507.0,8508.0,8481.0,14002.0,1189362530.0,216895.0,2.0
OI2309.ZCE,2023-04-17 14:30:00,8475.0,8485.0,8488.0,8470.0,8198.0,695165320.0,217973.0,-22.0
OI2309.ZCE,2023-04-17 14:15:00,8469.0,8475.0,8477.0,8464.0,6961.0,589672250.0,218266.0,-10.0
OI2309.ZCE,2023-04-17 14:00:00,8470.0,8469.0,8478.0,8460.0,9224.0,781123690.0,218446.0,-6.0
OI2309.ZCE,2023-04-17 13:45:00,8475.0,8470.0,8488.0,8462.0,12936.0,1096092440.0,217837.0,1.0
OI2309.ZCE,2023-04-17 11:30:00,8481.0,8474.0,8481.0,8465.0,12074.0,1022971610.0,216006.0,4.0
OI2309.ZCE,2023-04-17 11:15:00,8503.0,8481.0,8507.0,8476.0,11876.0,1008399050.0,214923.0,7.0
OI2309.ZCE,2023-04-17 11:00:00,8472.0,8503.0,8508.0,8471.0,15975.0,1356985170.0,214144.0,22.0
OI2309.ZCE,2023-04-17 10:45:00,8474.0,8471.0,8489.0,8467.0,12794.0,1084636290.0,214337.0,-32.0
OI2309.ZCE,2023-04-17 10:15:00,8491.0,8472.0,8491.0,8451.0,23518.0,1991514410.0,213628.0,1.0
OI2309.ZCE,2023-04-17 10:00:00,8517.0,8491.0,8517.0,8484.0,11299.0,960298490.0,212194.0,19.0
OI2309.ZCE,2023-04-17 09:45:00,8507.0,8517.0,8519.0,8494.0,12280.0,1044989470.0,211934.0,26.0
OI2309.ZCE,2023-04-17 09:30:00,8497.0,8507.0,8510.0,8474.0,20942.0,1778721310.0,211684.0,-10.0
OI2309.ZCE,2023-04-17 09:15:00,8488.0,8496.0,8551.0,8483.0,43967.0,3745492200.0,210935.0,-11.0
OI2309.ZCE,2023-04-14 23:00:00,8463.0,8464.0,8471.0,8444.0,19573.0,1655029880.0,212560.0,-32.0
OI2309.ZCE,2023-04-14 22:45:00,8425.0,8463.0,8469.0,8421.0,30960.0,2616843430.0,213903.0,-1.0
OI2309.ZCE,2023-04-14 22:30:00,8445.0,8426.0,8450.0,8416.0,16292.0,1374136790.0,214000.0,-37.0
OI2309.ZCE,2023-04-14 22:15:00,8461.0,8444.0,8466.0,8443.0,11355.0,960021680.0,212442.0,18.0
OI2309.ZCE,2023-04-14 22:00:00,8475.0,8462.0,8475.0,8451.0,10885.0,921313760.0,211445.0,18.0
OI2309.ZCE,2023-04-14 21:45:00,8489.0,8475.0,8496.0,8455.0,13962.0,1183487590.0,210672.0,13.0
OI2309.ZCE,2023-04-14 21:30:00,8496.0,8488.0,8497.0,8481.0,8393.0,712621350.0,209959.0,13.0
OI2309.ZCE,2023-04-14 21:15:00,8483.0,8496.0,8511.0,8471.0,28866.0,2450571220.0,209383.0,8.0
OI2309.ZCE,2023-04-14 21:00:00,8486.0,8483.0,8486.0,8482.0,692.0,58713660.0,204811.0,-13.0
OI2309.ZCE,2023-04-14 15:00:00,8457.0,8481.0,8485.0,8442.0,20030.0,1694910040.0,204473.0,-2.0
OI2309.ZCE,2023-04-14 14:45:00,8479.0,8457.0,8483.0,8446.0,19604.0,1658335790.0,205206.0,-24.0
OI2309.ZCE,2023-04-14 14:30:00,8490.0,8480.0,8496.0,8477.0,8079.0,685512770.0,205278.0,23.0
OI2309.ZCE,2023-04-14 14:15:00,8487.0,8490.0,8498.0,8483.0,7490.0,635884850.0,205529.0,10.0
OI2309.ZCE,2023-04-14 14:00:00,8484.0,8488.0,8497.0,8483.0,7060.0,599453870.0,205019.0,-2.0
OI2309.ZCE,2023-04-14 13:45:00,8486.0,8484.0,8499.0,8476.0,9241.0,784377250.0,204285.0,-4.0
OI2309.ZCE,2023-04-14 11:30:00,8492.0,8488.0,8506.0,8481.0,12344.0,1048515400.0,203384.0,4.0
OI2309.ZCE,2023-04-14 11:15:00,8487.0,8492.0,8498.0,8474.0,11878.0,1008133540.0,203095.0,4.0
OI2309.ZCE,2023-04-14 11:00:00,8485.0,8486.0,8501.0,8468.0,24025.0,2038246860.0,202737.0,-6.0
OI2309.ZCE,2023-04-14 10:45:00,8553.0,8484.0,8555.0,8483.0,28193.0,2401474460.0,201318.0,-2.0
OI2309.ZCE,2023-04-14 10:15:00,8570.0,8554.0,8588.0,8548.0,19182.0,1643629440.0,200844.0,70.0
OI2309.ZCE,2023-04-14 10:00:00,8553.0,8571.0,8572.0,8539.0,14451.0,1236529750.0,202311.0,17.0
OI2309.ZCE,2023-04-14 09:45:00,8508.0,8553.0,8556.0,8508.0,27078.0,2312940810.0,202533.0,-18.0
