number,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,delv_settle
82,AG2310.SHF,20221215,5451.0,5420.0,5428.0,5468.0,5302.0,5335.0,5396.0,-85.0,-24.0,1142.0,9244.56,2266.0,-18.0,
83,AG2310.SHF,20221214,5360.0,5337.0,5360.0,5480.0,5231.0,5451.0,5420.0,114.0,83.0,1427.0,11601.88,2284.0,54.0,
84,AG2310.SHF,20221213,5338.0,5319.0,5336.0,5374.0,5290.0,5360.0,5337.0,41.0,18.0,370.0,2962.48,2230.0,24.0,
85,AG2310.SHF,20221212,5278.0,5271.0,5288.0,5386.0,5282.0,5338.0,5319.0,67.0,48.0,810.0,6463.8,2206.0,48.0,
86,AG2310.SHF,20221209,5208.0,5184.0,5208.0,5313.0,5203.0,5278.0,5271.0,94.0,87.0,554.0,4380.79,2158.0,-132.0,
87,AG2310.SHF,20221208,5133.0,5145.0,5149.0,5216.0,5125.0,5208.0,5184.0,63.0,39.0,436.0,3390.91,2290.0,123.0,
88,AG2310.SHF,20221207,5150.0,5186.0,5181.0,5182.0,5118.0,5133.0,5145.0,-53.0,-41.0,346.0,2670.43,2167.0,-4.0,
89,AG2310.SHF,20221206,5271.0,5305.0,5270.0,5271.0,5143.0,5150.0,5186.0,-155.0,-119.0,488.0,3796.21,2171.0,26.0,
90,AG2310.SHF,20221205,5258.0,5210.0,5248.0,5392.0,5190.0,5271.0,5305.0,61.0,95.0,1126.0,8960.44,2145.0,25.0,
91,AG2310.SHF,20221202,5140.0,5102.0,5136.0,5272.0,5123.0,5258.0,5210.0,156.0,108.0,1894.0,14803.98,2120.0,59.0,
92,AG2310.SHF,20221201,4973.0,4986.0,4994.0,5149.0,4994.0,5140.0,5102.0,154.0,116.0,1561.0,11947.09,2061.0,72.0,
93,AG2310.SHF,20221130,4975.0,4991.0,4988.0,5006.0,4971.0,4973.0,4986.0,-18.0,-5.0,204.0,1525.84,1989.0,14.0,
94,AG2310.SHF,20221129,4981.0,4979.0,5000.0,5048.0,4955.0,4975.0,4991.0,-4.0,12.0,406.0,3039.81,1975.0,8.0,
95,AG2310.SHF,20221128,4994.0,5000.0,4989.0,5010.0,4963.0,4981.0,4979.0,-19.0,-21.0,214.0,1598.29,1967.0,9.0,
96,AG2310.SHF,20221125,5006.0,4980.0,5005.0,5014.0,4982.0,4994.0,5000.0,14.0,20.0,185.0,1387.56,1958.0,-7.0,
97,AG2310.SHF,20221124,4925.0,4910.0,4935.0,5031.0,4829.0,5006.0,4980.0,96.0,70.0,2262.0,16898.49,1965.0,-1062.0,
98,AG2310.SHF,20221123,4907.0,4906.0,4907.0,4935.0,4894.0,4925.0,4910.0,19.0,4.0,216.0,1591.02,3027.0,6.0,
99,AG2310.SHF,20221122,4880.0,4884.0,4879.0,4927.0,4863.0,4907.0,4906.0,23.0,22.0,1233.0,9075.37,3021.0,1020.0,
100,AG2310.SHF,20221121,4919.0,4929.0,4921.0,4933.0,4860.0,4880.0,4884.0,-49.0,-45.0,3895.0,28537.97,2001.0,63.0,
101,AG2310.SHF,20221118,4965.0,4965.0,4930.0,4944.0,4883.0,4919.0,4929.0,-46.0,-36.0,4218.0,31185.94,1938.0,1047.0,
102,AG2310.SHF,20221117,4963.0,4970.0,5008.0,5019.0,4922.0,4965.0,4965.0,-5.0,-5.0,367.0,2733.36,891.0,12.0,
103,AG2310.SHF,20221116,5009.0,4997.0,5008.0,5032.0,4934.0,4963.0,4970.0,-34.0,-27.0,226.0,1684.88,879.0,-21.0,
104,AG2310.SHF,20221115,4924.0,4952.0,4933.0,5025.0,4933.0,5009.0,4997.0,57.0,45.0,312.0,2338.84,900.0,88.0,
105,AG2310.SHF,20221114,5040.0,5039.0,5013.0,5015.0,4904.0,4924.0,4952.0,-115.0,-87.0,289.0,2146.7,812.0,30.0,
106,AG2310.SHF,20221111,4971.0,4975.0,4969.0,5077.0,4969.0,5040.0,5039.0,65.0,64.0,526.0,3976.53,782.0,91.0,
107,AG2310.SHF,20221110,4992.0,4968.0,4963.0,5038.0,4945.0,4971.0,4975.0,3.0,7.0,156.0,1164.24,691.0,10.0,
108,AG2310.SHF,20221109,4846.0,4846.0,4870.0,5028.0,4866.0,4992.0,4968.0,146.0,122.0,326.0,2429.65,681.0,75.0,
109,AG2310.SHF,20221108,4780.0,4765.0,4786.0,4885.0,4784.0,4846.0,4846.0,81.0,81.0,299.0,2173.84,606.0,35.0,
110,AG2310.SHF,20221107,4675.0,4623.0,4746.0,4801.0,4730.0,4780.0,4765.0,157.0,142.0,243.0,1737.04,571.0,47.0,
111,AG2310.SHF,20221104,4614.0,4651.0,4600.0,4675.0,4570.0,4675.0,4623.0,24.0,-28.0,37.0,256.61,524.0,4.0,
112,AG2310.SHF,20221103,4669.0,4675.0,4712.0,4712.0,4614.0,4614.0,4651.0,-61.0,-24.0,42.0,293.04,520.0,4.0,
113,AG2310.SHF,20221102,4661.0,4638.0,4711.0,4711.0,4633.0,4669.0,4675.0,31.0,37.0,62.0,434.85,516.0,1.0,
114,AG2310.SHF,20221101,4555.0,4564.0,4554.0,4671.0,4554.0,4661.0,4638.0,97.0,74.0,84.0,584.48,515.0,35.0,
115,AG2310.SHF,20221031,4624.0,4628.0,4596.0,4611.0,4536.0,4555.0,4564.0,-73.0,-64.0,43.0,294.43,480.0,-11.0,
116,AG2310.SHF,20221028,4608.0,4619.0,4632.0,4632.0,4624.0,4624.0,4628.0,5.0,9.0,11.0,76.38,491.0,4.0,
117,AG2310.SHF,20221027,4647.0,4632.0,4624.0,4633.0,4608.0,4608.0,4619.0,-24.0,-13.0,21.0,145.52,487.0,4.0,
118,AG2310.SHF,20221026,4583.0,4585.0,4571.0,4658.0,4571.0,4647.0,4632.0,62.0,47.0,45.0,312.68,483.0,10.0,
119,AG2310.SHF,20221025,4562.0,4549.0,4583.0,4600.0,4553.0,4583.0,4585.0,34.0,36.0,30.0,206.33,473.0,10.0,
120,AG2310.SHF,20221024,4433.0,4447.0,4466.0,4587.0,4466.0,4562.0,4549.0,115.0,102.0,32.0,218.36,463.0,14.0,
121,AG2310.SHF,20221021,4407.0,4421.0,4431.0,4469.0,4423.0,4433.0,4447.0,12.0,26.0,34.0,226.85,449.0,-1.0,
122,AG2310.SHF,20221020,4440.0,4441.0,4432.0,4444.0,4405.0,4407.0,4421.0,-34.0,-20.0,37.0,245.39,450.0,22.0,
123,AG2310.SHF,20221019,4441.0,4442.0,4444.0,4453.0,4434.0,4440.0,4441.0,-2.0,-1.0,431.0,2871.32,428.0,427.0,
124,AG2310.SHF,20221018,,4423.0,4447.0,4447.0,4440.0,4441.0,4442.0,18.0,19.0,3.0,19.99,1.0,,
