number,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,delv_settle
21,V2309.DCE,20230320,6188.0,6193.0,6180.0,6222.0,6111.0,6145.0,6164.0,-48.0,-29.0,120693.0,371992.98,201740.0,13991.0,
22,V2309.DCE,20230317,6152.0,6211.0,6151.0,6248.0,6144.0,6188.0,6193.0,-23.0,-18.0,103434.0,320299.34,187749.0,6173.0,
23,V2309.DCE,20230316,6271.0,6314.0,6230.0,6258.0,6152.0,6152.0,6211.0,-162.0,-103.0,109980.0,341575.83,181576.0,5538.0,
24,V2309.DCE,20230315,6342.0,6363.0,6346.0,6355.0,6261.0,6271.0,6314.0,-92.0,-49.0,87930.0,277603.7,176038.0,11817.0,
25,V2309.DCE,20230314,6389.0,6382.0,6363.0,6399.0,6292.0,6342.0,6363.0,-40.0,-19.0,83954.0,267100.13,164221.0,-2679.0,
26,V2309.DCE,20230313,6308.0,6335.0,6314.0,6442.0,6314.0,6389.0,6382.0,54.0,47.0,102426.0,326855.76,166900.0,-7253.0,
27,V2309.DCE,20230310,6348.0,6382.0,6345.0,6389.0,6275.0,6308.0,6335.0,-74.0,-47.0,99286.0,314492.0,174153.0,5753.0,
28,V2309.DCE,20230309,6468.0,6482.0,6471.0,6471.0,6334.0,6348.0,6382.0,-134.0,-100.0,109671.0,349990.45,168400.0,12739.0,
29,V2309.DCE,20230308,6466.0,6460.0,6460.0,6517.0,6445.0,6468.0,6482.0,8.0,22.0,92348.0,299314.53,155661.0,-1828.0,
30,V2309.DCE,20230307,6418.0,6424.0,6424.0,6488.0,6411.0,6466.0,6460.0,42.0,36.0,71551.0,231130.11,157489.0,-836.0,
31,V2309.DCE,20230306,6450.0,6418.0,6450.0,6466.0,6381.0,6418.0,6424.0,0.0,6.0,76987.0,247292.25,158325.0,4177.0,
32,V2309.DCE,20230303,6399.0,6415.0,6406.0,6459.0,6363.0,6450.0,6418.0,35.0,3.0,65986.0,211763.76,154148.0,4355.0,
33,V2309.DCE,20230302,6403.0,6381.0,6403.0,6449.0,6387.0,6399.0,6415.0,18.0,34.0,53513.0,171644.06,149793.0,7436.0,
34,V2309.DCE,20230301,6383.0,6384.0,6395.0,6412.0,6350.0,6403.0,6381.0,19.0,-3.0,50167.0,160060.97,142357.0,1486.0,
35,V2309.DCE,20230228,6432.0,6468.0,6441.0,6442.0,6342.0,6383.0,6384.0,-85.0,-84.0,61775.0,197186.69,140871.0,5389.0,
36,V2309.DCE,20230227,6509.0,6499.0,6509.0,6528.0,6421.0,6432.0,6468.0,-67.0,-31.0,60342.0,195167.64,135482.0,5133.0,
37,V2309.DCE,20230224,6472.0,6484.0,6483.0,6521.0,6480.0,6509.0,6499.0,25.0,15.0,48776.0,158513.32,130349.0,-2702.0,
38,V2309.DCE,20230223,6446.0,6465.0,6480.0,6521.0,6442.0,6472.0,6484.0,7.0,19.0,59889.0,194180.97,133051.0,-2416.0,
39,V2309.DCE,20230222,6467.0,6474.0,6475.0,6497.0,6426.0,6446.0,6465.0,-28.0,-9.0,65911.0,213061.9,135467.0,4392.0,
40,V2309.DCE,20230221,6413.0,6362.0,6416.0,6501.0,6416.0,6467.0,6474.0,105.0,112.0,70648.0,228701.76,131075.0,-5766.0,
41,V2309.DCE,20230220,6354.0,6358.0,6343.0,6415.0,6278.0,6413.0,6362.0,55.0,4.0,57967.0,184413.12,136841.0,-1256.0,
42,V2309.DCE,20230217,6350.0,6347.0,6341.0,6390.0,6331.0,6354.0,6358.0,7.0,11.0,38567.0,122606.91,138097.0,196.0,
43,V2309.DCE,20230216,6312.0,6305.0,6310.0,6382.0,6310.0,6350.0,6347.0,45.0,42.0,46716.0,148274.66,137901.0,-1015.0,
44,V2309.DCE,20230215,6295.0,6256.0,6294.0,6345.0,6260.0,6312.0,6305.0,56.0,49.0,53344.0,168186.19,138916.0,650.0,
45,V2309.DCE,20230214,6216.0,6233.0,6220.0,6320.0,6206.0,6295.0,6256.0,62.0,23.0,49699.0,155478.91,138266.0,-2349.0,
46,V2309.DCE,20230213,6273.0,6250.0,6283.0,6306.0,6191.0,6216.0,6233.0,-34.0,-17.0,61907.0,192961.88,140615.0,4201.0,
47,V2309.DCE,20230210,6277.0,6290.0,6275.0,6302.0,6183.0,6273.0,6250.0,-17.0,-40.0,65943.0,206093.14,136414.0,5317.0,
48,V2309.DCE,20230209,6244.0,6219.0,6250.0,6323.0,6249.0,6277.0,6290.0,58.0,71.0,54711.0,172080.54,131097.0,-955.0,
49,V2309.DCE,20230208,6249.0,6231.0,6250.0,6258.0,6190.0,6244.0,6219.0,13.0,-12.0,58817.0,182901.87,132052.0,7390.0,
50,V2309.DCE,20230207,6266.0,6265.0,6270.0,6284.0,6180.0,6249.0,6231.0,-16.0,-34.0,59505.0,185407.69,124662.0,8798.0,
51,V2309.DCE,20230206,6259.0,6246.0,6250.0,6320.0,6218.0,6266.0,6265.0,20.0,19.0,49191.0,154107.67,115864.0,6735.0,
52,V2309.DCE,20230203,6252.0,6309.0,6254.0,6279.0,6201.0,6259.0,6246.0,-50.0,-63.0,54979.0,171713.52,109129.0,11457.0,
53,V2309.DCE,20230202,6359.0,6392.0,6365.0,6365.0,6235.0,6252.0,6309.0,-140.0,-83.0,61440.0,193818.24,97672.0,8214.0,
54,V2309.DCE,20230201,6393.0,6462.0,6401.0,6444.0,6345.0,6359.0,6392.0,-103.0,-70.0,42245.0,135024.3,89458.0,5110.0,
55,V2309.DCE,20230131,6567.0,6588.0,6575.0,6575.0,6381.0,6393.0,6462.0,-195.0,-126.0,49233.0,159096.29,84348.0,7034.0,
56,V2309.DCE,20230130,6692.0,6653.0,6740.0,6740.0,6518.0,6567.0,6588.0,-86.0,-65.0,34462.0,113519.03,77314.0,6420.0,
57,V2309.DCE,20230120,6635.0,6635.0,6627.0,6694.0,6606.0,6692.0,6653.0,57.0,18.0,21982.0,73128.06,70894.0,1037.0,
58,V2309.DCE,20230119,6574.0,6561.0,6582.0,6697.0,6559.0,6635.0,6635.0,74.0,74.0,32267.0,107058.6,69857.0,3005.0,
59,V2309.DCE,20230118,6500.0,6470.0,6510.0,6600.0,6500.0,6574.0,6561.0,104.0,91.0,28075.0,92101.07,66852.0,2614.0,
60,V2309.DCE,20230117,6502.0,6508.0,6492.0,6521.0,6423.0,6500.0,6470.0,-8.0,-38.0,22673.0,73357.56,64238.0,1149.0,
61,V2309.DCE,20230116,6471.0,6456.0,6460.0,6565.0,6446.0,6502.0,6508.0,46.0,52.0,26652.0,86729.96,63089.0,2474.0,
62,V2309.DCE,20230113,6422.0,6418.0,6428.0,6500.0,6414.0,6471.0,6456.0,53.0,38.0,18251.0,58917.46,60615.0,-281.0,
63,V2309.DCE,20230112,6415.0,6401.0,6435.0,6453.0,6384.0,6422.0,6418.0,21.0,17.0,19800.0,63544.04,60896.0,1712.0,
64,V2309.DCE,20230111,6381.0,6380.0,6390.0,6445.0,6365.0,6415.0,6401.0,35.0,21.0,15397.0,49280.17,59184.0,-364.0,
65,V2309.DCE,20230110,6379.0,6366.0,6398.0,6434.0,6332.0,6381.0,6380.0,15.0,14.0,19874.0,63405.16,59548.0,552.0,
66,V2309.DCE,20230109,6397.0,6316.0,6388.0,6400.0,6322.0,6379.0,6366.0,63.0,50.0,15694.0,49959.45,58996.0,1420.0,
67,V2309.DCE,20230106,6236.0,6234.0,6250.0,6405.0,6250.0,6397.0,6316.0,163.0,82.0,36668.0,115807.73,57576.0,124.0,
68,V2309.DCE,20230105,6257.0,6264.0,6250.0,6268.0,6200.0,6236.0,6234.0,-28.0,-30.0,17901.0,55805.36,57452.0,2992.0,
69,V2309.DCE,20230104,6334.0,6260.0,6331.0,6346.0,6215.0,6257.0,6264.0,-3.0,4.0,24303.0,76126.58,54460.0,4505.0,
70,V2309.DCE,20230103,6277.0,6266.0,6287.0,6343.0,6159.0,6334.0,6260.0,68.0,-6.0,26103.0,81702.41,49955.0,3330.0,
71,V2309.DCE,20221230,6271.0,6260.0,6266.0,6306.0,6230.0,6277.0,6266.0,17.0,6.0,12882.0,40365.61,46625.0,120.0,
72,V2309.DCE,20221229,6318.0,6329.0,6324.0,6330.0,6211.0,6271.0,6260.0,-58.0,-69.0,16294.0,51008.3,46505.0,2621.0,
73,V2309.DCE,20221228,6342.0,6318.0,6334.0,6377.0,6282.0,6318.0,6329.0,0.0,11.0,13032.0,41241.16,43884.0,135.0,
74,V2309.DCE,20221227,6296.0,6218.0,6282.0,6357.0,6266.0,6342.0,6318.0,124.0,100.0,12439.0,39297.27,43749.0,-385.0,
75,V2309.DCE,20221226,6216.0,6232.0,6232.0,6303.0,6150.0,6296.0,6218.0,64.0,-14.0,20314.0,63158.26,44134.0,-321.0,
76,V2309.DCE,20221223,6245.0,6300.0,6254.0,6279.0,6188.0,6216.0,6232.0,-84.0,-68.0,13269.0,41349.42,44455.0,919.0,
77,V2309.DCE,20221222,6333.0,6298.0,6380.0,6384.0,6230.0,6245.0,6300.0,-53.0,2.0,14569.0,45892.82,43536.0,1621.0,
78,V2309.DCE,20221221,6285.0,6294.0,6285.0,6344.0,6255.0,6333.0,6298.0,39.0,4.0,11355.0,35757.06,41915.0,-242.0,
79,V2309.DCE,20221220,6265.0,6318.0,6265.0,6344.0,6250.0,6285.0,6294.0,-33.0,-24.0,15761.0,49600.89,42157.0,-1026.0,
80,V2309.DCE,20221219,6415.0,6422.0,6399.0,6430.0,6246.0,6265.0,6318.0,-157.0,-104.0,21347.0,67437.95,43183.0,1074.0,
81,V2309.DCE,20221216,6422.0,6385.0,6420.0,6494.0,6302.0,6415.0,6422.0,30.0,37.0,22068.0,70865.38,42109.0,717.0,
82,V2309.DCE,20221215,6355.0,6329.0,6355.0,6428.0,6323.0,6422.0,6385.0,93.0,56.0,17935.0,57262.9,41392.0,-973.0,
83,V2309.DCE,20221214,6298.0,6281.0,6297.0,6365.0,6292.0,6355.0,6329.0,74.0,48.0,10938.0,34613.36,42365.0,-353.0,
84,V2309.DCE,20221213,6228.0,6321.0,6229.0,6315.0,6203.0,6298.0,6281.0,-23.0,-40.0,16397.0,51495.21,42718.0,1357.0,
