number,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,delv_settle
18,AG2306.SHF,20230323,5149.0,5114.0,5117.0,5232.0,5111.0,5185.0,5178.0,71.0,64.0,977882.0,7595309.23,590402.0,8889.0,
19,AG2306.SHF,20230322,5132.0,5125.0,5137.0,5152.0,5085.0,5149.0,5114.0,24.0,-11.0,705934.0,5415785.51,581513.0,3146.0,
20,AG2306.SHF,20230321,5146.0,5112.0,5106.0,5172.0,5077.0,5132.0,5125.0,20.0,13.0,774081.0,5951359.2,578367.0,1096.0,
21,AG2306.SHF,20230320,5059.0,5021.0,5072.0,5175.0,5053.0,5146.0,5112.0,125.0,91.0,1153836.0,8848706.72,577271.0,-220.0,
22,AG2306.SHF,20230317,5042.0,5078.0,5077.0,5082.0,4968.0,5059.0,5021.0,-19.0,-57.0,923726.0,6957835.38,577491.0,-7850.0,
23,AG2306.SHF,20230316,5055.0,5047.0,5140.0,5150.0,5034.0,5042.0,5078.0,-5.0,31.0,1056699.0,8050179.98,585341.0,-14440.0,
24,AG2306.SHF,20230315,5057.0,5031.0,5050.0,5064.0,5025.0,5055.0,5047.0,24.0,16.0,625403.0,4735539.4,599781.0,-9796.0,
25,AG2306.SHF,20230314,4914.0,4872.0,5054.0,5068.0,5000.0,5057.0,5031.0,185.0,159.0,1014666.0,7658412.32,609577.0,-28541.0,
26,AG2306.SHF,20230313,4776.0,4800.0,4799.0,4929.0,4791.0,4914.0,4872.0,114.0,72.0,1173892.0,8580561.63,638118.0,-29807.0,
27,AG2306.SHF,20230310,4783.0,4791.0,4797.0,4830.0,4758.0,4776.0,4800.0,-15.0,9.0,692784.0,4988782.53,667925.0,-13058.0,
28,AG2306.SHF,20230309,4781.0,4837.0,4797.0,4814.0,4773.0,4783.0,4791.0,-54.0,-46.0,600322.0,4314740.78,680983.0,-4955.0,
29,AG2306.SHF,20230308,4948.0,4965.0,4930.0,4934.0,4756.0,4781.0,4837.0,-184.0,-128.0,1056827.0,7668705.37,685938.0,70958.0,
30,AG2306.SHF,20230307,4978.0,4952.0,4971.0,4982.0,4944.0,4948.0,4965.0,-4.0,13.0,435238.0,3241649.53,614980.0,-5358.0,
31,AG2306.SHF,20230306,4931.0,4908.0,4933.0,4986.0,4918.0,4978.0,4952.0,70.0,44.0,701806.0,5213468.87,620338.0,-1851.0,
32,AG2306.SHF,20230303,4890.0,4913.0,4890.0,4942.0,4878.0,4931.0,4908.0,18.0,-5.0,586635.0,4318830.59,622189.0,-8344.0,
33,AG2306.SHF,20230302,4935.0,4905.0,4924.0,4935.0,4885.0,4890.0,4913.0,-15.0,8.0,646690.0,4766421.21,630533.0,9532.0,
